CustomerID,Gender,Age,City,TenureMonths,PlanType,MonthlyCharges,Contract,PaymentMethod,SupportCallsLast6Mo,AutoPayEnabled,SatisfactionScore,Churn
CUST-1320,Male,42,Bengaluru,51,Standard,990.2,1 Year,Net Banking,1,No,,No
CUST-1870,Female,31,DELHI,8,Standard,878.1,Month-to-Month,UPI,0,No,,No
CUST-1003,Female,46,mumbai,54,Standard,985.66,Month-to-Month,Net Banking,1,No,2.0,Yes
CUST-1305,Female,61,DELHI,30,Premium,1372.01,Month-to-Month,UPI,3,Yes,,No
CUST-1133,Male,39,Bengaluru,55,Standard,947.38,1 Year,UPI,3,Yes,4.0,No
CUST-1553,Female,42,DELHI,2,Standard,917.15,Month-to-Month,UPI,1,No,2.0,Yes
CUST-1169,Male,43,Delhi,56,Standard,924.86,Month-to-Month,Credit Card,0,No,3.0,No
CUST-1243,Female,58,mumbai,24,Premium,1219.91,1 Year,UPI,2,No,5.0,No
CUST-1321,Female,37,Delhi,36,Standard,926.8,Month-to-Month,Credit Card,0,No,2.0,No
CUST-1129,Male,55,delhi,16,Basic,442.32,2 Year,UPI,3,No,4.0,Yes
CUST-1258,Female,48,Bengaluru,39,Basic,444.97,1 Year,Net Banking,1,Yes,4.0,No
CUST-1587,Male,30,Delhi,4,Basic,588.91,Month-to-Month,Credit Card,1,Yes,4.0,Yes
CUST-1510,Female,41,BENGALURU,28,Basic,521.1,Month-to-Month,Credit Card,2,No,1.0,Yes
CUST-1110,Male,41,Mumbai,23,Standard,881.29,1 Year,Credit Card,0,No,3.0,No
CUST-1803,Female,71,MUMBAI,55,Standard,954.68,Month-to-Month,UPI,0,Yes,4.0,No
CUST-1766,Female,52,Pune,15,Basic,478.31,Month-to-Month,UPI,1,Yes,2.0,Yes
CUST-1700,Male,31,Bengaluru,11,Premium,1273.04,2 Year,Net Banking,0,No,1.0,No
CUST-2004,Female,18,Bengaluru,28,Basic,515.85,2 Year,UPI,2,Yes,4.0,No
CUST-2028,Female,69,delhi,12,Basic,502.02,2 Year,Cash,1,No,3.0,No
CUST-2024,Female,70,Mumbai,35,Premium,1377.99,Month-to-Month,Credit Card,1,Yes,3.0,Yes
CUST-1460,Male,29,delhi,19,Standard,909.23,2 Year,Credit Card,3,Yes,3.0,No
CUST-1184,Female,23,mumbai,37,Basic,481.47,Month-to-Month,Cash,2,No,5.0,Yes
