Row_ID,Order_ID,Order_Date,Ship_Date,Ship_Mode,Customer_ID,Customer_Name,Segment,Country,Region,State,City,Category,Sub_Category,Product_Name,Quantity,Discount,Sales,Profit,Shipping_Days,Year,Month_Number,Month_Name,Quarter
1,ORD-000001,2023-04-13,2023-04-18,Standard Class,CUST-1227,Customer 1227,Corporate,United Kingdom,Europe,Scotland,Berlin,Office Supplies,Labels,Address Labels,6,0.25,96.42,-7.59,5,2023,4,April,Q2
2,ORD-000002,2024-03-11,2024-03-12,First Class,CUST-0802,Customer 0802,Home Office,Brazil,South America,São Paulo,London,Office Supplies,Art,Art Set,4,0.15,133.51,0.77,1,2024,3,March,Q1
3,ORD-000003,2023-09-28,2023-09-30,First Class,CUST-1794,Customer 1794,Home Office,India,Asia,Karnataka,Paris,Office Supplies,Appliances,Printer,3,0.3,1185.27,-11.21,2,2023,9,September,Q3
4,ORD-000004,2023-04-17,2023-04-19,Second Class,CUST-0339,Customer 0339,Consumer,Australia,Oceania,Western Australia,Los Angeles,Office Supplies,Envelopes,Business Envelopes,5,0.0,121.54,13.31,2,2023,4,April,Q2
5,ORD-000005,2023-03-13,2023-03-15,Second Class,CUST-1143,Customer 1143,Corporate,United Kingdom,Europe,Northern Ireland,Tokyo,Office Supplies,Envelopes,Business Envelopes,1,0.0,24.21,-6.62,2,2023,3,March,Q1
6,ORD-000006,2024-12-01,2024-12-02,Same Day,CUST-1831,Customer 1831,Corporate,India,Asia,Karnataka,Melbourne,Office Supplies,Appliances,Printer,1,0.0,499.8,54.58,1,2024,12,December,Q4
7,ORD-000007,2023-01-21,2023-01-22,First Class,CUST-0759,Customer 0759,Home Office,Japan,Asia,Tokyo,Paris,Office Supplies,Storage,Storage Box,1,0.0,81.48,1.87,1,2023,1,January,Q1
8,ORD-000008,2024-09-06,2024-09-12,Standard Class,CUST-1859,Customer 1859,Consumer,India,Asia,Uttar Pradesh,São Paulo,Office Supplies,Binders,Premium Binder,3,0.3,98.99,-78.11,6,2024,9,September,Q3
9,ORD-000009,2023-05-02,2023-05-05,Second Class,CUST-1993,Customer 1993,Corporate,Canada,North America,British Columbia,New York,Office Supplies,Supplies,Office Supplies Kit,2,0.0,117.09,13.25,3,2023,5,May,Q2
10,ORD-000010,2024-04-11,2024-04-17,Standard Class,CUST-0752,Customer 0752,Corporate,India,Asia,Tamil Nadu,London,Office Supplies,Supplies,Office Supplies Kit,10,0.2,562.85,-14.27,6,2024,4,April,Q2
11,ORD-000011,2023-08-03,2023-08-09,Standard Class,CUST-0871,Customer 0871,Home Office,Mexico,North America,Yucatán,Madrid,Technology,Machines,Desktop Computer,3,0.15,3088.67,352.25,6,2023,8,August,Q3
12,ORD-000012,2023-11-27,2023-12-03,Standard Class,CUST-0622,Customer 0622,Home Office,Brazil,South America,São Paulo,Madrid,Furniture,Tables,Conference Table,4,0.05,1534.35,179.9,6,2023,11,November,Q4
13,ORD-000013,2024-04-03,2024-04-07,Second Class,CUST-1612,Customer 1612,Consumer,United States,North America,Texas,Shanghai,Technology,Phones,Smartphone,2,0.0,1183.23,174.15,4,2024,4,April,Q2
14,ORD-000014,2023-03-29,2023-04-04,Standard Class,CUST-0268,Customer 0268,Consumer,United States,North America,Florida,Bengaluru,Office Supplies,Labels,Address Labels,2,0.0,40.07,0.07,6,2023,3,March,Q1
15,ORD-000015,2024-01-08,2024-01-12,Standard Class,CUST-0764,Customer 0764,Home Office,United States,North America,New York,Madrid,Furniture,Furnishings,Office Desk Lamp,2,0.0,165.57,5.89,4,2024,1,January,Q1
16,ORD-000016,2023-04-10,2023-04-11,First Class,CUST-1017,Customer 1017,Consumer,India,Asia,Tamil Nadu,Bengaluru,Office Supplies,Storage,Storage Box,4,0.1,407.71,23.81,1,2023,4,April,Q2
17,ORD-000017,2024-10-25,2024-10-28,Second Class,CUST-0457,Customer 0457,Corporate,Japan,Asia,Aichi,Los Angeles,Furniture,Bookcases,Office Bookcase,3,0.05,631.36,51.42,3,2024,10,October,Q4
18,ORD-000018,2023-05-11,2023-05-14,Standard Class,CUST-1191,Customer 1191,Home Office,Spain,Europe,Catalonia,Paris,Office Supplies,Paper,Copy Paper,3,0.1,104.6,-1.23,3,2023,5,May,Q2
19,ORD-000019,2024-10-23,2024-10-26,Standard Class,CUST-1312,Customer 1312,Home Office,United Kingdom,Europe,Scotland,Delhi,Technology,Phones,Smartphone,4,0.15,2858.25,233.02,3,2024,10,October,Q4
20,ORD-000020,2023-11-05,2023-11-10,Standard Class,CUST-1733,Customer 1733,Corporate,United Kingdom,Europe,Scotland,Toronto,Office Supplies,Supplies,Office Supplies Kit,5,0.05,324.8,28.08,5,2023,11,November,Q4
21,ORD-000021,2023-12-10,2023-12-11,First Class,CUST-1480,Customer 1480,Home Office,India,Asia,Karnataka,Berlin,Technology,Machines,Desktop Computer,1,0.0,1129.09,203.55,1,2023,12,December,Q4
22,ORD-000022,2024-05-06,2024-05-11,Standard Class,CUST-0618,Customer 0618,Corporate,Mexico,North America,Puebla,Los Angeles,Office Supplies,Envelopes,Business Envelopes,5,0.15,125.34,4.71,5,2024,5,May,Q2
23,ORD-000023,2024-02-18,2024-02-25,Standard Class,CUST-1952,Customer 1952,Consumer,Mexico,North America,Puebla,Los Angeles,Technology,Machines,Desktop Computer,3,0.05,3187.98,492.54,7,2024,2,February,Q1
24,ORD-000024,2024-01-21,2024-01-26,Standard Class,CUST-0278,Customer 0278,Corporate,Germany,Europe,Saxony,Delhi,Furniture,Chairs,Ergonomic Office Chair,4,0.0,853.42,127.15,5,2024,1,January,Q1
25,ORD-000025,2023-07-11,2023-07-18,Standard Class,CUST-0472,Customer 0472,Home Office,India,Asia,Delhi,Madrid,Furniture,Furnishings,Office Desk Lamp,2,0.15,171.09,9.8,7,2023,7,July,Q3
26,ORD-000026,2023-10-04,2023-10-11,Standard Class,CUST-0179,Customer 0179,Consumer,France,Europe,Île-de-France,Delhi,Furniture,Furnishings,Office Desk Lamp,2,0.25,140.79,8.18,7,2023,10,October,Q4
27,ORD-000027,2023-06-10,2023-06-11,First Class,CUST-0091,Customer 0091,Corporate,Canada,North America,Quebec,Melbourne,Office Supplies,Art,Art Set,2,0.2,73.31,-9.85,1,2023,6,June,Q2
28,ORD-000028,2024-04-04,2024-04-08,Second Class,CUST-1833,Customer 1833,Consumer,United States,North America,California,Berlin,Office Supplies,Labels,Address Labels,8,0.0,142.83,0.41,4,2024,4,April,Q2
29,ORD-000029,2023-11-10,2023-11-12,First Class,CUST-1202,Customer 1202,Corporate,Canada,North America,British Columbia,Mumbai,Technology,Phones,Smartphone,3,0.1,1893.38,202.85,2,2023,11,November,Q4
30,ORD-000030,2023-01-22,2023-01-23,Same Day,CUST-0401,Customer 0401,Consumer,United States,North America,New York,Berlin,Technology,Phones,Smartphone,10,0.0,6230.82,947.52,1,2023,1,January,Q1
31,ORD-000031,2023-09-10,2023-09-11,Same Day,CUST-1453,Customer 1453,Corporate,China,Asia,Guangdong,Sydney,Technology,Accessories,Wireless Keyboard,3,0.25,224.13,3.97,1,2023,9,September,Q3
32,ORD-000032,2024-07-14,2024-07-20,Standard Class,CUST-0699,Customer 0699,Home Office,China,Asia,Beijing,Shanghai,Technology,Copiers,Laser Copier,2,0.0,1902.64,295.54,6,2024,7,July,Q3
33,ORD-000033,2024-04-19,2024-04-20,First Class,CUST-0428,Customer 0428,Home Office,India,Asia,Maharashtra,Bengaluru,Office Supplies,Binders,Premium Binder,3,0.0,86.79,-2.65,1,2024,4,April,Q2
34,ORD-000034,2023-02-28,2023-03-07,Standard Class,CUST-1184,Customer 1184,Consumer,China,Asia,Jiangsu,New York,Furniture,Bookcases,Office Bookcase,1,0.2,194.86,6.92,7,2023,2,February,Q1
35,ORD-000035,2024-05-25,2024-05-27,Second Class,CUST-1642,Customer 1642,Consumer,Australia,Oceania,Victoria,Paris,Technology,Machines,Desktop Computer,7,0.25,7943.99,539.08,2,2024,5,May,Q2
36,ORD-000036,2024-11-12,2024-11-13,First Class,CUST-1142,Customer 1142,Consumer,Spain,Europe,Madrid,Tokyo,Office Supplies,Appliances,Printer,5,0.15,2077.19,128.05,1,2024,11,November,Q4
37,ORD-000037,2024-04-20,2024-04-27,Standard Class,CUST-0493,Customer 0493,Home Office,Germany,Europe,Hesse,New York,Furniture,Bookcases,Office Bookcase,5,0.0,938.6,104.0,7,2024,4,April,Q2
38,ORD-000038,2024-11-30,2024-12-05,Standard Class,CUST-0816,Customer 0816,Home Office,Mexico,North America,Puebla,Sydney,Technology,Machines,Desktop Computer,4,0.1,3939.59,486.17,5,2024,11,November,Q4
39,ORD-000039,2023-07-09,2023-07-11,Second Class,CUST-0030,Customer 0030,Corporate,Spain,Europe,Catalonia,Mumbai,Office Supplies,Labels,Address Labels,3,0.15,63.59,-3.9,2,2023,7,July,Q3
40,ORD-000040,2024-11-17,2024-11-21,Standard Class,CUST-0100,Customer 0100,Consumer,Canada,North America,Quebec,Los Angeles,Office Supplies,Storage,Storage Box,10,0.1,827.09,49.71,4,2024,11,November,Q4
41,ORD-000041,2024-07-16,2024-07-18,Second Class,CUST-1948,Customer 1948,Home Office,Canada,North America,Quebec,Melbourne,Furniture,Chairs,Ergonomic Office Chair,2,0.0,573.69,71.87,2,2024,7,July,Q3
42,ORD-000042,2024-07-20,2024-07-26,Standard Class,CUST-1778,Customer 1778,Home Office,Japan,Asia,Osaka,Mumbai,Technology,Copiers,Laser Copier,5,0.0,4065.74,660.13,6,2024,7,July,Q3
43,ORD-000043,2023-09-01,2023-09-01,Same Day,CUST-0211,Customer 0211,Corporate,China,Asia,Jiangsu,London,Technology,Accessories,USB-C Hub,3,0.2,213.15,3.05,0,2023,9,September,Q3
